row_id,session_id,user_id,device_type,form_step,field_name,mouse_velocity_px_s,mouse_acceleration_px_s2,hesitation_time_ms,time_on_field_ms,click_count,rage_click,click_error_rate,scroll_jitter_count,correction_count,previous_attempts,cognitive_load_score,ui_action_triggered,session_abandoned
1,SESS00001,USER1803,desktop,1,loan_amount,464.68,259.93,1906.0,5481.6,2,0,0.486,1,0,3,48.91,show_inline_hint,0
2,SESS00001,USER1803,desktop,2,phone_number,270.16,155.26,1446.4,6073.6,2,0,0.349,2,0,1,33.13,show_inline_hint,0
3,SESS00001,USER1803,desktop,3,collateral_details,262.83,161.51,790.3,3316.3,2,0,0.068,0,1,1,21.66,no_action,0
4,SESS00001,USER1803,desktop,4,collateral_details,224.8,264.88,1256.5,5339.9,5,0,0.39,1,2,0,35.48,show_inline_hint,0
5,SESS00001,USER1803,desktop,5,routing_number,160.13,123.3,1193.0,2337.6,5,1,0.111,1,3,0,28.09,no_action,0
6,SESS00001,USER1803,desktop,6,bank_account_number,241.9,273.68,1508.6,7216.8,2,0,0.256,1,3,0,48.6,show_inline_hint,0
7,SESS00001,USER1803,desktop,7,routing_number,107.25,294.96,1088.5,4028.0,1,0,0.519,3,1,0,30.08,show_inline_hint,0
8,SESS00001,USER1803,desktop,8,employment_status,239.8,388.49,819.7,5454.6,3,0,0.257,6,2,0,42.8,show_inline_hint,0
9,SESS00001,USER1803,desktop,8,credit_score_range,167.04,347.18,1833.3,3717.5,3,0,0.204,0,0,0,35.69,show_inline_hint,0
10,SESS00001,USER1803,desktop,8,credit_score_range,345.9,166.86,770.0,2834.4,4,0,0.437,1,2,2,35.46,show_inline_hint,0
11,SESS00001,USER1803,desktop,8,credit_score_range,409.99,374.25,1364.0,5440.0,1,0,0.661,5,3,3,45.94,show_inline_hint,0
12,SESS00001,USER1803,desktop,8,annual_income,716.56,212.16,1685.1,7382.3,2,0,0.234,4,2,0,51.64,simplify_field,0
13,SESS00002,USER3052,mobile,1,phone_number,407.36,241.63,656.7,3124.5,3,0,0.157,1,0,0,20.58,no_action,0
14,SESS00002,USER3052,mobile,2,email,224.56,425.41,1655.6,5566.1,8,0,0.502,4,1,1,43.12,show_inline_hint,0
15,SESS00002,USER3052,mobile,3,credit_score_range,620.95,354.86,1249.0,3065.1,2,0,0.352,3,0,2,58.25,simplify_field,0
16,SESS00002,USER3052,mobile,4,phone_number,379.14,428.9,2510.4,6343.1,4,0,0.591,4,2,4,71.49,simplify_field,0
17,SESS00002,USER3052,mobile,5,full_name,199.99,170.51,846.0,3688.6,6,1,0.432,1,3,1,32.4,show_inline_hint,0
18,SESS00002,USER3052,mobile,6,routing_number,135.58,156.0,846.1,500.0,6,1,0.272,2,3,2,23.93,no_action,0
19,SESS00002,USER3052,mobile,7,full_name,596.82,256.12,1526.8,3292.3,6,1,0.226,3,1,0,57.13,simplify_field,0
20,SESS00003,USER1381,desktop,1,bank_account_number,233.12,161.88,1627.1,5213.0,5,0,0.331,4,2,0,34.7,show_inline_hint,0
21,SESS00003,USER1381,desktop,2,zip_code,482.28,273.62,1181.2,5238.4,3,0,0.046,4,2,1,42.12,show_inline_hint,0
22,SESS00003,USER1381,desktop,3,employment_status,396.85,303.59,1017.9,6093.7,5,0,0.255,2,1,1,37.56,show_inline_hint,0
23,SESS00003,USER1381,desktop,4,signature_confirmation,130.92,146.95,1229.9,3695.9,2,0,0.124,4,2,0,24.18,no_action,0
24,SESS00003,USER1381,desktop,5,loan_purpose,364.98,225.95,869.9,5664.0,1,0,0.201,2,3,0,35.7,show_inline_hint,0
25,SESS00003,USER1381,desktop,6,loan_amount,249.5,343.19,2485.8,2584.8,7,1,0.163,1,4,3,40.49,show_inline_hint,0
26,SESS00003,USER1381,desktop,7,credit_score_range,310.23,85.6,1144.8,2390.9,2,0,0.22,1,2,0,22.45,no_action,0
27,SESS00003,USER1381,desktop,8,annual_income,402.88,108.29,1698.1,5139.3,3,0,0.101,7,1,1,43.95,show_inline_hint,0
28,SESS00003,USER1381,desktop,8,existing_debts,308.71,281.87,883.5,1043.6,4,0,0.095,1,0,1,33.14,show_inline_hint,0
29,SESS00003,USER1381,desktop,8,state,432.56,249.84,1852.4,5993.2,7,0,0.257,2,1,0,42.72,show_inline_hint,0
30,SESS00003,USER1381,desktop,8,existing_debts,416.5,206.49,1785.5,7965.2,4,0,0.526,4,1,1,39.93,show_inline_hint,0
31,SESS00003,USER1381,desktop,8,existing_debts,474.23,153.42,903.0,5566.5,1,0,0.304,1,1,0,27.27,no_action,0
32,SESS00004,USER7148,mobile,1,full_name,292.33,137.38,2023.2,7155.8,5,0,0.336,0,0,0,30.1,show_inline_hint,0
33,SESS00004,USER7148,mobile,2,co_applicant_info,430.6,411.04,1538.1,5359.8,4,0,0.267,1,2,3,37.37,show_inline_hint,0
34,SESS00004,USER7148,mobile,3,credit_score_range,498.55,347.3,1399.3,3019.2,7,1,0.438,0,3,0,45.92,show_inline_hint,0
35,SESS00004,USER7148,mobile,4,city,75.0,55.84,1023.1,3758.1,5,1,0.31,1,2,0,23.45,no_action,0
36,SESS00004,USER7148,mobile,5,date_of_birth,780.96,340.36,1094.0,6546.5,4,0,0.306,0,3,1,46.02,show_inline_hint,0
37,SESS00004,USER7148,mobile,6,employment_status,411.45,165.72,1770.2,4829.8,2,0,0.317,1,1,3,29.02,no_action,0
38,SESS00004,USER7148,mobile,7,loan_amount,332.2,272.18,1327.4,6864.9,4,0,0.232,1,2,0,41.07,show_inline_hint,0
39,SESS00004,USER7148,mobile,8,email,560.69,427.39,1833.2,7784.2,5,0,0.559,2,2,0,54.18,simplify_field,0
40,SESS00004,USER7148,mobile,8,annual_income,527.31,308.19,2043.3,6096.9,5,0,0.579,4,3,0,52.95,simplify_field,0
41,SESS00005,USER3525,desktop,1,employment_status,210.21,314.28,1021.6,1713.4,3,0,0.352,3,2,3,41.47,show_inline_hint,0
42,SESS00005,USER3525,desktop,2,zip_code,494.27,263.4,1129.3,4030.6,2,0,0.368,3,1,0,41.39,show_inline_hint,0
43,SESS00005,USER3525,desktop,3,collateral_details,438.54,317.6,1836.4,770.7,6,1,0.345,4,2,1,50.48,simplify_field,0
44,SESS00005,USER3525,desktop,4,phone_number,458.53,155.59,1445.7,5213.4,4,0,0.397,0,3,2,41.07,show_inline_hint,0
45,SESS00005,USER3525,desktop,5,bank_account_number,235.92,254.62,1839.3,9311.5,3,0,0.373,2,2,0,42.04,show_inline_hint,0
46,SESS00005,USER3525,desktop,6,phone_number,821.75,459.47,2909.8,9885.2,4,0,0.629,4,2,2,82.56,trigger_wizard_regeneration,0
47,SESS00005,USER3525,desktop,7,address_line1,398.26,270.98,2610.1,5087.2,5,0,0.351,2,1,2,55.46,simplify_field,0
48,SESS00005,USER3525,desktop,8,full_name,591.54,332.24,2278.0,6069.9,7,0,0.533,0,2,3,55.86,simplify_field,0
49,SESS00006,USER3326,mobile,1,date_of_birth,230.6,108.14,144.7,2068.4,1,0,0.102,0,0,0,6.68,no_action,0
50,SESS00006,USER3326,mobile,2,state,181.07,93.96,814.7,4315.8,2,0,0.079,2,0,1,8.64,no_action,0
51,SESS00006,USER3326,mobile,3,employment_status,270.57,270.23,1068.3,4672.3,1,0,0.409,2,2,1,30.77,show_inline_hint,0
52,SESS00006,USER3326,mobile,4,bank_account_number,302.15,255.87,1189.4,1774.7,2,0,0.466,1,1,0,32.43,show_inline_hint,0
53,SESS00006,USER3326,mobile,5,zip_code,390.35,121.84,1053.7,3204.3,1,0,0.3,1,1,0,33.09,show_inline_hint,0
54,SESS00006,USER3326,mobile,6,state,209.98,283.91,1008.9,3084.1,4,0,0.296,0,0,0,28.61,no_action,0
55,SESS00006,USER3326,mobile,7,phone_number,137.36,153.13,629.3,2298.6,2,0,0.411,1,0,1,27.5,no_action,0
56,SESS00006,USER3326,mobile,8,employment_status,396.48,378.91,1123.8,4830.1,3,0,0.287,0,0,1,28.11,no_action,0
57,SESS00006,USER3326,mobile,8,date_of_birth,404.99,409.8,1533.7,5656.6,4,0,0.12,1,2,1,49.36,show_inline_hint,0
58,SESS00006,USER3326,mobile,8,email,315.22,203.3,1172.1,4071.2,1,0,0.128,6,5,1,21.15,no_action,0
59,SESS00006,USER3326,mobile,8,employment_status,219.55,198.29,312.4,3165.7,3,0,0.149,2,0,0,21.19,no_action,0
60,SESS00006,USER3326,mobile,8,employment_status,259.61,138.66,755.4,2663.8,1,0,0.41,0,0,0,30.69,show_inline_hint,0
61,SESS00007,USER8643,mobile,1,date_of_birth,319.42,216.3,754.3,1972.1,1,0,0.329,1,0,0,20.56,no_action,0
62,SESS00007,USER8643,mobile,2,routing_number,244.84,269.78,1089.1,2460.9,1,0,0.329,2,1,0,28.33,no_action,0
63,SESS00007,USER8643,mobile,3,credit_score_range,284.35,92.59,467.0,1393.0,2,0,0.284,1,0,0,24.94,no_action,0
64,SESS00007,USER8643,mobile,4,zip_code,292.67,221.42,588.5,4612.4,1,0,0.28,2,1,1,24.93,no_action,0
65,SESS00007,USER8643,mobile,5,city,247.06,207.75,168.2,3343.2,1,0,0.197,3,5,0,33.73,show_inline_hint,0
66,SESS00007,USER8643,mobile,6,address_line1,48.58,174.98,831.1,3290.7,2,0,0.05,0,0,0,23.83,no_action,0
67,SESS00007,USER8643,mobile,7,bank_account_number,283.0,172.56,254.1,2056.2,4,0,0.361,2,0,0,20.35,no_action,0
68,SESS00007,USER8643,mobile,8,tax_id_number,129.31,195.69,929.9,4243.2,3,0,0.396,1,1,0,13.6,no_action,0
69,SESS00007,USER8643,mobile,8,address_line1,118.48,64.44,689.1,2073.8,4,0,0.058,0,0,0,18.5,no_action,0
70,SESS00008,USER2699,mobile,1,tax_id_number,282.28,326.32,192.8,3474.6,1,0,0.248,0,0,2,31.45,show_inline_hint,0
71,SESS00008,USER2699,mobile,2,loan_amount,285.46,210.39,1381.3,912.3,6,1,0.367,2,2,1,31.33,show_inline_hint,0
72,SESS00008,USER2699,mobile,3,state,303.82,158.85,1475.0,1574.0,3,0,0.238,2,1,0,40.35,show_inline_hint,0
73,SESS00008,USER2699,mobile,4,city,155.37,135.11,948.1,6163.7,1,0,0.24,2,2,0,26.83,no_action,0
74,SESS00008,USER2699,mobile,5,routing_number,188.24,340.86,1160.0,4491.5,6,0,0.685,4,1,0,37.62,show_inline_hint,0
75,SESS00008,USER2699,mobile,6,zip_code,464.8,214.75,1504.3,5763.1,7,0,0.359,4,2,0,45.49,show_inline_hint,0
76,SESS00008,USER2699,mobile,7,email,318.13,382.86,1826.2,8294.9,5,0,0.223,2,4,0,55.86,simplify_field,0
77,SESS00009,USER7492,desktop,1,annual_income,255.55,186.66,859.2,708.1,1,0,0.353,1,0,0,26.24,no_action,0
78,SESS00009,USER7492,desktop,2,loan_amount,235.94,178.7,653.4,2516.5,3,0,0.473,0,0,0,24.83,no_action,0
79,SESS00009,USER7492,desktop,3,collateral_details,265.66,37.6,1297.6,5627.4,3,0,0.241,2,1,0,22.82,no_action,0
80,SESS00009,USER7492,desktop,4,signature_confirmation,339.63,67.84,409.3,500.0,2,0,0.326,0,1,0,29.64,no_action,0
81,SESS00009,USER7492,desktop,5,phone_number,190.29,314.39,1477.7,4345.2,1,0,0.296,4,1,0,45.22,show_inline_hint,0
82,SESS00009,USER7492,desktop,6,date_of_birth,433.47,157.61,1031.6,543.3,5,1,0.4,1,0,0,31.18,show_inline_hint,0
83,SESS00009,USER7492,desktop,7,loan_purpose,272.25,233.14,555.9,3673.9,5,1,0.617,1,2,2,41.29,show_inline_hint,0
84,SESS00009,USER7492,desktop,8,tax_id_number,172.41,242.93,368.4,5448.4,2,0,0.125,0,1,1,15.17,no_action,0
85,SESS00009,USER7492,desktop,8,annual_income,134.6,179.37,1369.6,2518.0,3,0,0.377,1,1,1,28.77,no_action,0
86,SESS00009,USER7492,desktop,8,employment_status,456.31,91.21,1256.9,706.9,1,0,0.486,2,1,0,32.32,show_inline_hint,0
87,SESS00009,USER7492,desktop,8,credit_score_range,415.1,360.91,1516.7,5578.8,4,0,0.237,3,2,1,48.39,show_inline_hint,0
88,SESS00009,USER7492,desktop,8,phone_number,362.88,237.61,1063.2,2549.5,3,0,0.35,1,1,1,33.67,show_inline_hint,0
89,SESS00009,USER7492,desktop,8,employment_status,497.74,325.87,2354.9,3285.2,5,1,0.339,6,1,1,57.55,simplify_field,0
90,SESS00010,USER2631,desktop,1,bank_account_number,188.74,130.31,246.9,2666.2,1,0,0.07,2,0,0,11.91,no_action,0
91,SESS00010,USER2631,desktop,2,full_name,345.39,292.47,1241.1,5514.9,2,0,0.738,4,1,0,49.69,show_inline_hint,0
92,SESS00010,USER2631,desktop,3,collateral_details,369.78,192.13,1155.2,4171.4,4,0,0.291,3,2,1,40.49,show_inline_hint,0
93,SESS00010,USER2631,desktop,4,loan_purpose,380.46,241.8,2845.0,5694.6,4,0,0.305,3,1,2,59.97,simplify_field,0
94,SESS00010,USER2631,desktop,5,date_of_birth,506.88,495.26,563.4,3118.4,3,0,0.16,0,2,0,31.32,show_inline_hint,0
95,SESS00010,USER2631,desktop,6,collateral_details,356.61,213.93,2348.2,5701.0,1,0,0.191,2,2,0,45.92,show_inline_hint,0
96,SESS00010,USER2631,desktop,7,tax_id_number,342.93,328.5,1885.4,4185.3,4,0,0.38,3,1,2,61.1,simplify_field,0
97,SESS00010,USER2631,desktop,8,collateral_details,171.28,332.61,739.7,2211.4,3,0,0.652,0,1,0,34.39,show_inline_hint,0
98,SESS00010,USER2631,desktop,8,bank_account_number,365.59,324.81,308.8,6686.8,6,0,0.319,3,0,0,41.17,show_inline_hint,0
99,SESS00011,USER7711,desktop,1,annual_income,218.01,92.2,398.9,2380.4,1,0,0.243,0,0,0,22.65,no_action,0
